6/26 阪神11R 芝2200m
馬番,馬名,阪神2200m,,,,阪神1800-2600m,,,,全場所2200m,,,
1,オーソリティ,0,0,0,0,0,0,0,0,0,0,0,0
2,アフリカンゴールド,1,0,0,0,1,0,0,2,1,0,0,1
3,メロディーレーン,0,0,0,1,0,0,0,2,0,0,0,1
4,エフフォーリア,0,0,0,0,0,0,0,1,0,0,0,0
5,アイアンバローズ,0,0,0,0,1,0,0,1,0,0,0,0
6,タイトルホルダー,0,0,0,0,0,0,0,0,0,0,0,1
7,デアリングタクト,0,0,0,0,0,0,0,0,0,0,0,0
8,ステイフーリッシュ,0,1,0,0,0,1,0,1,0,1,0,2
9,マイネルファンロン,0,0,0,0,0,0,0,0,0,1,0,0
10,ヒシイグアス,0,0,0,0,0,0,0,1,0,0,0,0
11,パンサラッサ,0,0,0,0,0,0,0,0,0,0,0,0
12,ウインマリリン,0,0,0,1,0,0,0,2,1,0,0,2
13,アリーヴォ,0,0,0,0,0,0,1,0,0,0,1,0
14,キングオブコージ,0,0,0,0,0,0,0,1,1,0,0,1
15,ディープボンド,0,0,0,0,0,0,0,0,0,0,0,0
16,グロリアムンディ,0,2,0,0,0,2,0,2,0,2,0,1
17,ギベオン,0,0,0,0,0,0,0,0,0,0,0,0
18,ポタジェ,0,0,0,0,1,0,0,0,0,0,0,1
